ORF,Protein Molecules/Cell
YDL091C,NA
YDL092W,283
YDL095W,75
YDL097C,405
YDL098C,NA
YDL099W,NA
YDL100C,429
YDL101C,NA
YDL102W,253
YDL103C,154
YDL104C,NA
YDL105W,NA
YDL106C,64
YDL107W,NA
YDL108W,66
YDL110C,156
YDL111C,226
YDL112W,152
YDL113C,57
YDL115C,50
YDL116W,275
YDL117W,81
YDL119C,44
YDL120W,131
YDL121C,412
YDL122W,208
YDL123W,377
YDL124W,127
YDL125C,810
YDL126C,1413
YDL128W,105
YDL129W,NA
YDL130W,8425
YDL130W-A,129
YDL131W,3545
YDL132W,110
YDL133C-A,5186
YDL134C,95
YDL135C,257
YDL136W,2582
YDL137W,104
YDL139C,NA
YDL140C,1137
YDL141W,186
YDL142C,NA
YDL144C,95
YDL145C,898
YDL146W,NA
YDL147W,682
YDL150W,203
YDL152W,NA
YDL155W,NA
YDL156W,NA
YDL157C,NA
YDL159W,57
YDL160C,488
YDL161W,118
YDL164C,144
YDL165W,97
YDL166C,292
YDL167C,182
YDL168W,325
YDL170W,NA
YDL171C,NA
YDL173W,283
YDL174C,NA
YDL175C,47
YDL176W,NA
YDL178W,313
YDL180W,NA
YDL181W,NA
YDL182W,5002
YDL184C,5690
YDL185W,4243
YDL188C,59
YDL189W,137
YDL190C,229
YDL191W,NA
YDL192W,2065
YDL193W,NA
YDL195W,966
YDL197C,NA
YDL201W,221
YDL202W,224
YDL203C,60
YDL204W,NA
YDL205C,237
YDL207W,75
YDL208W,1371
YDL209C,NA
YDL211C,NA
YDL212W,655
YDL213C,574
YDL215C,5433
YDL216C,NA
YDL219W,69
YDL220C,NA
YDL222C,NA
YDL223C,NA
YDL224C,111
YDL225W,286
YDL226C,375
YDL227C,NA
YDL229W,1189
YDL230W,NA
YDL232W,922
YDL233W,NA
YDL234C,101
YDL235C,339
YDL236W,440
YDL238C,NA
YDL240W,82
YDL248W,NA
YDR001C,185
YDR003W,179
YDR004W,NA
YDR005C,59
YDR006C,55
YDR007W,123
YDR009W,NA
YDR011W,490
YDR012W,1822
YDR014W,NA
YDR016C,128
YDR017C,152
YDR019C,677
YDR020C,139
YDR021W,78
YDR022C,NA
YDR023W,1508
YDR024W,NA
YDR025W,NA
YDR026C,NA
YDR027C,100
YDR028C,204
YDR031W,NA
YDR032C,255
YDR033W,1170
YDR034C,77
YDR034W-B,79
YDR035W,1202
YDR036C,116
YDR038C,101
YDR039C,130
YDR040C,132
YDR041W,42
YDR043C,NA
YDR044W,86
YDR046C,106
YDR047W,144
YDR049W,113
YDR050C,5770
YDR051C,77
YDR052C,NA
YDR054C,319
YDR055W,100
YDR056C,362
YDR059C,183
YDR060W,624
YDR061W,87
YDR062W,291
YDR063W,112
YDR065W,NA
YDR066C,47
YDR067C,70
YDR068W,190
YDR069C,53
YDR070C,NA
YDR071C,NA
YDR072C,NA
YDR073W,41
YDR074W,326
YDR075W,65
YDR076W,NA
YDR077W,NA
YDR079C-A,53
YDR079W,43
YDR080W,84
YDR081C,47
YDR083W,95
YDR084C,NA
YDR086C,NA
YDR087C,261
YDR088C,NA
YDR089W,NA
YDR090C,421
YDR091C,1319
YDR092W,537
YDR093W,177
YDR096W,48
YDR097C,72
YDR098C,115
YDR099W,2478
YDR100W,274
YDR101C,581
YDR103W,60
YDR105C,181
YDR108W,74
YDR110W,67
YDR111C,NA
YDR115W,NA
YDR116C,120
YDR118W,NA
YDR119W,555
YDR120C,196
