ORF,Protein Molecules/Cell
YNL241C,616
YNL242W,56
YNL243W,339
YNL245C,133
YNL246W,144
YNL247W,642
YNL248C,431
YNL250W,90
YNL251C,548
YNL252C,NA
YNL254C,NA
YNL255C,1907
YNL256W,118
YNL257C,NA
YNL258C,140
YNL259C,43
YNL261W,NA
YNL262W,122
YNL264C,39
YNL265C,111
YNL267W,NA
YNL268W,NA
YNL271C,103
YNL272C,168
YNL273W,66
YNL274C,NA
YNL275W,48
YNL277W,NA
YNL278W,121
YNL279W,NA
YNL280C,NA
YNL281W,799
YNL282W,95
YNL283C,94
YNL284C,180
YNL286W,60
YNL287W,847
YNL288W,248
YNL290W,176
YNL292W,NA
YNL293W,40
YNL297C,180
YNL298W,115
YNL299W,NA
YNL300W,506
YNL301C,1979
YNL302C,2181
YNL304W,NA
YNL305C,NA
YNL306W,NA
YNL307C,384
YNL308C,227
YNL309W,NA
YNL310C,1625
YNL311C,148
YNL312W,326
YNL313C,352
YNL315C,101
YNL316C,51
YNL317W,66
YNL322C,389
YNL323W,206
YNL325C,NA
YNL326C,75
YNL327W,358
YNL328C,43
YNL329C,56
YNL330C,85
YNL336W,129
YNR001C,160
YNR004W,NA
YNR006W,72
YNR007C,96
YNR009W,NA
YNR010W,92
YNR011C,57
YNR012W,47
YNR013C,144
YNR014W,137
YNR015W,111
YNR016C,3057
YNR017W,350
YNR018W,161
YNR019W,NA
YNR021W,605
YNR022C,197
YNR023W,45
YNR024W,93
YNR026C,101
YNR027W,82
YNR028W,110
YNR029C,NA
YNR030W,104
YNR031C,98
YNR032W,NA
YNR033W,103
YNR034W,191
YNR034W-A,NA
YNR035C,586
YNR038W,223
YNR039C,114
YNR040W,84
YNR041C,NA
YNR043W,584
YNR044W,55
YNR045W,NA
YNR046W,593
YNR047W,128
YNR048W,NA
YNR049C,43
YNR050C,7539
YNR051C,377
YNR052C,172
YNR053C,553
YNR054C,109
YNR055C,76
YNR056C,NA
YNR061C,61
YNR067C,51
YNR075W,NA
YOL004W,NA
YOL005C,663
YOL006C,106
YOL007C,84
YOL009C,NA
YOL010W,298
YOL011W,50
YOL012C,589
YOL013C,NA
YOL016C,204
YOL017W,NA
YOL019W,233
YOL020W,386
YOL021C,268
YOL022C,100
YOL023W,43
YOL027C,469
YOL028C,66
YOL030W,46
YOL031C,NA
YOL032W,76
YOL033W,45
YOL034W,50
YOL038W,1000
YOL039W,150
YOL041C,426
YOL042W,NA
YOL043C,NA
YOL044W,NA
YOL045W,114
YOL047C,NA
YOL048C,NA
YOL049W,NA
YOL051W,163
YOL052C,443
YOL052C-A,NA
YOL054W,NA
YOL055C,NA
YOL056W,238
YOL057W,88
YOL058W,10537
YOL059W,1037
YOL060C,144
YOL061W,351
YOL062C,56
YOL064C,594
YOL066C,51
YOL067C,465
YOL068C,NA
YOL069W,48
YOL070C,120
YOL071W,NA
YOL072W,NA
YOL076W,245
YOL077C,930
YOL077W-A,142
YOL080C,114
YOL081W,54
YOL082W,NA
YOL084W,NA
YOL087C,NA
YOL088C,68
YOL089C,39
YOL090W,162
YOL092W,571
YOL093W,138
YOL094C,89
YOL096C,92
YOL097C,685
YOL098C,352
YOL100W,49
YOL101C,NA
YOL102C,NA
YOL103W,54
YOL105C,NA
YOL107W,74
YOL108C,NA
YOL111C,447
YOL112W,NA
YOL113W,NA
YOL115W,64
YOL116W,NA
YOL117W,NA
YOL121C,1641
YOL123W,1509
YOL124C,106
YOL125W,NA
YOL126C,57
YOL129W,147
YOL130W,81
YOL134C,82
YOL135C,136
YOL136C,NA
YOL137W,NA
YOL138C,70
YOL139C,2895
YOL140W,943
YOL141W,74
YOL142W,341
YOL143C,112
YOL144W,100
YOL145C,490
YOL147C,NA
YOL148C,64
YOL149W,144
YOL150C,NA
YOL151W,110
YOL154W,NA
YOL159C-A,NA
YOR001W,175
YOR002W,73
YOR004W,161
YOR006C,59
YOR007C,506
YOR008C,376
YOR014W,287
YOR016C,247
YOR017W,60
YOR018W,113
YOR022C,NA
YOR023C,NA
YOR025W,198
YOR026W,NA
YOR027W,2593
YOR028C,NA
YOR033C,NA
YOR034C,NA
YOR035C,NA
YOR037W,NA
YOR038C,39
YOR039W,272
YOR040W,NA
YOR042W,236
YOR043W,59
YOR044W,92
YOR045W,NA
YOR046C,419
YOR048C,256
YOR051C,264
YOR052C,NA
YOR056C,232
YOR057W,78
YOR058C,NA
YOR059C,NA
YOR060C,NA
YOR061W,337
YOR062C,NA
YOR063W,4079
YOR064C,NA
YOR065W,438
YOR069W,124
YOR070C,79
YOR073W,NA
YOR074C,NA
YOR075W,56
YOR076C,NA
YOR077W,NA
YOR078W,198
YOR081C,75
YOR083W,120
YOR084W,NA
YOR085W,NA
YOR086C,315
YOR087W,221
YOR089C,666
YOR091W,NA
YOR092W,NA
YOR094W,244
YOR095C,268
YOR098C,225
YOR099W,80
YOR101W,102
YOR104W,158
YOR107W,NA
YOR108W,811
YOR109W,259
YOR110W,NA
YOR112W,154
YOR113W,53
YOR115C,NA
YOR116C,436
YOR117W,NA
YOR118W,72
YOR120W,NA
YOR122C,1633
YOR123C,214
YOR124C,115
YOR127W,91
YOR128C,1435
YOR129C,NA
YOR130C,NA
YOR131C,171
YOR132W,106
YOR133W,1467
YOR136W,104
YOR138C,158
YOR140W,99
YOR141C,NA
YOR142W,54
YOR143C,48
YOR144C,NA
YOR147W,NA
YOR148C,NA
YOR150W,172
YOR151C,1239
YOR152C,NA
YOR153W,873
YOR154W,44
YOR156C,NA
YOR157C,NA
YOR158W,150
YOR160W,175
YOR161C,NA
YOR162C,NA
YOR163W,218
YOR164C,59
YOR165W,194
YOR167C,2695
YOR168W,1103
YOR171C,116
YOR172W,NA
YOR173W,NA
YOR174W,76
YOR175C,167
YOR176W,179
YOR179C,154
YOR181W,114
YOR182C,2711
YOR184W,1574
YOR185C,45
YOR187W,303
YOR188W,47
YOR189W,210
YOR191W,46
YOR193W,NA
YOR195W,50
YOR196C,193
YOR197W,212
YOR198C,1239
YOR201C,NA
YOR205C,NA
YOR206W,484
YOR207C,312
YOR208W,NA
YOR209C,460
YOR210W,1313
YOR212W,NA
YOR213C,53
YOR214C,59
YOR215C,197
YOR216C,166
YOR217W,131
YOR220W,111
YOR221C,NA
YOR224C,375
YOR226C,735
YOR227W,45
YOR228C,NA
YOR229W,146
YOR230W,1326
YOR231W,NA
YOR232W,148
YOR233W,68
YOR234C,2629
YOR236W,220
YOR238W,89
YOR239W,519
YOR241W,366
YOR243C,147
YOR244W,71
YOR245C,NA
YOR246C,NA
YOR247W,58
YOR248W,70
YOR249C,40
YOR251C,NA
YOR252W,236
YOR253W,110
YOR254C,493
YOR258W,NA
YOR259C,466
YOR260W,499
YOR261C,492
YOR262W,87
YOR264W,NA
YOR265W,163
YOR266W,42
YOR267C,194
YOR269W,NA
YOR270C,2940
YOR271C,74
YOR272W,205
YOR273C,105
YOR274W,60
YOR275C,58
YOR276W,1029
YOR279C,NA
YOR281C,299
YOR283W,559
YOR284W,NA
YOR285W,655
YOR286W,385
YOR288C,NA
YOR289W,52
YOR290C,135
YOR291W,112
YOR292C,NA
YOR293W,207
YOR295W,NA
YOR296W,70
YOR297C,NA
YOR298C-A,3015
YOR299W,58
YOR302W,1180
YOR303W,1969
YOR304C-A,106
YOR304W,126
YOR305W,NA
YOR307C,103
YOR308C,NA
YOR310C,1456
YOR311C,43
YOR312C,2664
YOR315W,NA
YOR316C,380
YOR317W,542
YOR319W,89
YOR320C,NA
YOR321W,NA
YOR322C,109
YOR323C,232
YOR324C,NA
YOR326W,416
YOR329C,57
YOR330C,104
YOR332W,2128
YOR334W,NA
YOR335C,3189
YOR336W,58
YOR337W,90
YOR340C,389
YOR341W,1262
YOR342C,NA
YOR344C,43
YOR346W,NA
YOR347C,79
YOR349W,NA
YOR350C,54
YOR352W,NA
YOR353C,NA
YOR354C,151
YOR355W,58
YOR356W,129
YOR357C,67
YOR358W,49
YOR359W,155
YOR360C,134
YOR361C,1806
YOR362C,1034
YOR363C,54
YOR367W,39
YOR370C,299
YOR371C,87
YOR372C,NA
YOR373W,62
YOR374W,475
YOR375C,5261
YOR377W,44
YOR385W,68
YOR386W,NA
YPL002C,44
YPL004C,NA
YPL005W,NA
YPL006W,109
YPL007C,51
YPL008W,NA
YPL009C,343
YPL010W,NA
YPL011C,81
YPL012W,642
YPL013C,NA
YPL014W,NA
YPL015C,120
YPL016W,121
YPL017C,NA
YPL018W,NA
YPL019C,59
YPL020C,50
YPL022W,69
YPL024W,NA
YPL026C,88
YPL028W,1375
YPL029W,NA
YPL030W,193
YPL031C,168
YPL032C,174
YPL037C,3839
YPL038W,NA
YPL040C,82
YPL043W,342
YPL045W,88
YPL046C,NA
YPL047W,125
YPL048W,685
YPL049C,63
YPL050C,62
YPL051W,81
YPL053C,82
YPL055C,NA
YPL057C,221
YPL058C,141
YPL059W,302
YPL060W,NA
YPL061W,7162
YPL063W,286
YPL064C,46
YPL065W,NA
YPL066W,NA
YPL067C,62
YPL068C,NA
YPL069C,85
YPL070W,44
YPL071C,NA
YPL072W,NA
YPL074W,54
YPL075W,56
YPL076W,NA
YPL078C,NA
YPL079W,1936
YPL081W,5599
YPL082C,375
YPL083C,51
YPL084W,175
YPL085W,266
YPL086C,184
YPL087W,76
YPL089C,NA
YPL090C,1695
YPL091W,312
YPL093W,1038
YPL094C,NA
YPL096W,NA
YPL097W,66
YPL100W,41
YPL104W,NA
YPL105C,159
YPL106C,3378
YPL107W,83
YPL108W,51
YPL109C,NA
YPL110C,74
YPL111W,4398
YPL112C,139
YPL115C,114
YPL116W,92
YPL117C,1031
YPL118W,89
YPL119C,NA
YPL120W,50
YPL122C,69
YPL124W,55
YPL125W,163
YPL126W,415
YPL127C,392
YPL128C,111
YPL129W,NA
YPL131W,5320
YPL133C,NA
YPL134C,202
YPL135W,1192
YPL137C,300
YPL138C,NA
YPL139C,NA
YPL140C,NA
YPL141C,NA
YPL144W,78
YPL145C,815
YPL146C,231
YPL150W,45
YPL151C,NA
YPL152W,NA
YPL153C,NA
YPL154C,NA
YPL155C,54
YPL158C,43
YPL160W,3119
YPL161C,103
YPL162C,NA
YPL163C,NA
YPL166W,NA
YPL168W,NA
YPL169C,274
YPL170W,84
YPL172C,NA
YPL175W,NA
YPL177C,45
YPL178W,487
YPL179W,NA
YPL180W,76
YPL181W,84
YPL183C,213
YPL183W-A,129
YPL184C,287
YPL188W,NA
YPL190C,NA
YPL191C,50
YPL192C,NA
YPL193W,NA
YPL194W,NA
YPL195W,201
YPL198W,2398
YPL199C,NA
YPL202C,NA
YPL203W,98
YPL204W,267
YPL206C,NA
YPL207W,172
YPL208W,62
YPL209C,NA
YPL210C,307
YPL211W,861
YPL212C,484
YPL213W,160
YPL214C,NA
YPL215W,299
YPL219W,NA
YPL220W,1806
YPL221W,276
YPL222W,NA
YPL223C,NA
YPL225W,422
YPL226W,1661
YPL227C,185
YPL228W,90
YPL229W,61
YPL231W,2784
YPL232W,NA
YPL233W,93
YPL234C,NA
YPL236C,55
YPL239W,598
YPL240C,4167
YPL241C,84
YPL242C,NA
YPL243W,369
YPL245W,NA
YPL246C,300
YPL247C,NA
YPL249C,57
YPL249C-A,2281
YPL250C,52
YPL252C,NA
YPL254W,63
YPL255W,61
YPL256C,NA
YPL259C,204
YPL260W,593
YPL262W,256
YPL263C,313
YPL265W,4552
YPL269W,NA
YPL270W,158
YPL271W,791
YPL273W,1106
YPL274W,NA
YPR001W,NA
YPR002W,NA
YPR003C,NA
YPR004C,802
YPR006C,NA
YPR008W,72
YPR010C,1407
YPR011C,NA
YPR013C,NA
YPR016C,1124
YPR017C,118
YPR019W,242
YPR020W,NA
YPR022C,75
YPR023C,43
YPR024W,132
YPR025C,64
YPR028W,1086
YPR029C,NA
YPR031W,NA
YPR032W,110
YPR033C,1231
YPR034W,335
YPR035W,19379
YPR036W,NA
YPR037C,NA
YPR040W,105
YPR041W,1171
YPR042C,153
YPR043W,5749
YPR045C,85
YPR046W,NA
YPR047W,45
YPR049C,NA
YPR051W,149
YPR052C,1087
YPR055W,NA
YPR056W,46
YPR057W,52
YPR060C,526
YPR061C,NA
YPR062W,491
YPR063C,223
YPR065W,79
YPR067W,130
YPR069C,NA
YPR070W,96
YPR071W,49
YPR072W,256
YPR073C,131
YPR074C,4804
YPR075C,NA
YPR079W,146
YPR080W,17708
YPR081C,NA
YPR083W,NA
YPR086W,147
YPR090W,135
YPR091C,NA
YPR097W,NA
YPR098C,NA
YPR100W,115
YPR101W,69
YPR102C,1140
YPR103W,NA
YPR104C,75
YPR105C,NA
YPR107C,80
YPR108W,106
YPR110C,823
YPR111W,62
YPR113W,315
YPR114W,NA
YPR115W,60
YPR116W,NA
YPR118W,123
YPR119W,NA
YPR122W,69
YPR124W,65
YPR125W,363
YPR127W,NA
YPR128C,52
YPR129W,136
YPR131C,80
YPR132W,NA
YPR134W,NA
YPR135W,58
YPR137W,239
YPR138C,335
YPR139C,NA
YPR140W,NA
YPR141C,43
YPR143W,481
YPR144C,210
YPR145W,14478
YPR147C,NA
YPR148C,NA
YPR149W,1398
YPR152C,NA
YPR154W,153
YPR155C,69
YPR156C,310
YPR159W,NA
YPR160W,44
YPR161C,97
YPR163C,1288
YPR168W,231
YPR169W,111
YPR171W,120
YPR172W,75
YPR173C,NA
YPR174C,113
YPR175W,85
YPR178W,NA
YPR179C,51
YPR180W,101
YPR182W,273
YPR183W,411
YPR184W,44
YPR185W,53
YPR186C,NA
YPR187W,1384
YPR188C,44
YPR189W,245
YPR190C,52
YPR191W,203
