ORF,Protein Molecules/Cell
YDL090C,3.91E+03
YDL091C,2.33E+02
YDL092W,8.00E+03
YDL093W,-
YDL094C,-
YDL095W,4.15E+04
YDL096C,-
YDL097C,1.68E+04
YDL098C,9.07E+02
YDL099W,5.22E+03
YDL100C,1.73E+04
YDL101C,3.48E+03
YDL102W,-
YDL103C,5.48E+03
YDL104C,1.40E+03
YDL105W,#
YDL106C,6.42E+03
YDL107W,7.36E+02
YDL108W,4.40E+03
YDL109C,1.95E+02
YDL110C,2.11E+03
YDL111C,7.11E+03
YDL112W,8.61E+02
YDL113C,3.58E+02
YDL114W,-
YDL114W-A,-
YDL115C,1.08E+03
YDL116W,8.58E+03
YDL117W,3.77E+02
YDL118W,-
YDL119C,1.55E+03
YDL120W,1.56E+03
YDL121C,3.26E+03
YDL122W,8.97E+03
YDL123W,6.78E+03
YDL124W,4.03E+03
YDL125C,5.41E+03
YDL126C,7.84E+04
YDL127W,-
YDL128W,7.77E+03
YDL129W,4.50E+02
YDL130W,2.24E+04
YDL130W-A,%
YDL131W,2.19E+04
YDL132W,3.77E+02
YDL133C-A,4.91E+03
YDL133W,-
YDL134C,5.62E+03
YDL135C,1.67E+03
YDL136W,1.91E+04
YDL137W,2.50E+04
YDL138W,#
YDL139C,5.56E+02
YDL140C,#
YDL141W,1.97E+03
YDL142C,8.76E+02
YDL143W,5.53E+03
YDL144C,5.17E+03
YDL145C,1.52E+04
YDL146W,3.29E+02
YDL147W,5.71E+03
YDL148C,-
YDL149W,#
YDL150W,9.98E+02
YDL151C,-
YDL152W,-
YDL153C,-
YDL154W,-
YDL155W,8.92E+02
YDL156W,3.81E+03
YDL157C,7.52E+02
YDL158C,-
YDL159W,6.72E+02
YDL159W-A,-
YDL160C,4.29E+04
YDL161W,%
YDL162C,-
YDL163W,-
YDL164C,1.49E+02
YDL165W,2.12E+03
YDL166C,8.35E+03
YDL167C,3.57E+03
YDL168W,8.37E+03
YDL169C,-
YDL170W,1.20E+03
YDL171C,1.89E+04
YDL172C,-
YDL173W,1.14E+03
YDL174C,1.08E+04
YDL175C,1.80E+03
YDL176W,3.39E+02
YDL177C,9.07E+02
YDL178W,1.14E+04
YDL179W,-
YDL180W,-
YDL181W,9.81E+02
YDL182W,2.81E+04
YDL183C,-
YDL184C,1.19E+04
YDL185C-A,-
YDL185W,2.00E+05
YDL186W,-
YDL187C,-
YDL188C,4.11E+03
YDL189W,8.92E+02
YDL190C,2.60E+03
YDL191W,-
YDL192W,1.93E+04
YDL193W,-
YDL194W,-
YDL195W,1.84E+03
YDL196W,-
YDL197C,1.91E+03
YDL198C,-
YDL199C,-
YDL200C,-
YDL201W,2.63E+03
YDL202W,6.07E+03
YDL203C,9.89E+01
YDL204W,%
YDL205C,8.48E+03
YDL206W,-
YDL207W,1.04E+03
YDL208W,-
YDL209C,2.65E+03
YDL210W,-
YDL211C,3.36E+03
YDL212W,6.51E+03
YDL213C,8.97E+03
YDL214C,-
YDL215C,7.40E+03
YDL216C,%
YDL217C,-
YDL218W,-
YDL219W,4.61E+03
YDL220C,3.19E+02
YDL221W,-
YDL222C,3.29E+02
YDL223C,-
YDL224C,-
YDL225W,5.62E+03
YDL226C,9.56E+03
YDL227C,%
YDL228C,%
YDL229W,1.70E+05
YDL230W,2.69E+03
YDL231C,-
YDL232W,2.43E+03
YDL233W,1.01E+03
YDL234C,2.46E+03
YDL235C,6.33E+03
YDL236W,2.98E+03
YDL237W,-
YDL238C,2.79E+02
YDL239C,-
YDL240C-A,-
YDL240W,4.68E+02
YDL241W,1.30E+03
YDL242W,-
YDL243C,-
YDL244W,-
YDL245C,-
YDL246C,-
YDL247W,-
YDL247W-A,-
YDL248W,-
YDR001C,1.84E+03
YDR002W,-
YDR003W,1.23E+03
YDR004W,2.38E+02
YDR005C,1.72E+03
YDR006C,-
YDR007W,1.85E+03
YDR008C,-
YDR009W,7.21E+02
YDR010C,-
YDR011W,1.30E+03
YDR012W,1.51E+05
YDR013W,1.43E+03
YDR014W,7.21E+02
YDR015C,-
YDR016C,7.99E+02
YDR017C,1.94E+03
YDR018C,-
YDR019C,4.09E+03
YDR020C,4.28E+03
YDR021W,3.09E+03
YDR022C,4.86E+02
YDR023W,-
YDR024W,-
YDR025W,#
YDR026C,4.32E+02
YDR027C,2.54E+03
YDR028C,2.56E+03
YDR029W,-
YDR030C,-
YDR031W,-
YDR032C,2.33E+03
YDR033W,1.82E+05
YDR034C,4.50E+02
YDR034C-A,-
YDR034W-B,8.61E+02
YDR035W,8.97E+03
YDR036C,3.95E+03
YDR037W,-
YDR038C,6.06E+02
YDR039C,6.39E+02
YDR040C,6.88E+02
YDR041W,8.48E+03
YDR042C,-
YDR043C,5.56E+02
YDR044W,2.20E+04
YDR045C,-
YDR046C,%
YDR047W,9.22E+03
YDR048C,-
YDR049W,3.93E+03
YDR050C,2.07E+05
YDR051C,3.17E+03
YDR052C,%
YDR053W,-
YDR054C,8.17E+03
YDR055W,1.17E+04
YDR056C,1.60E+03
YDR057W,-
YDR058C,-
YDR059C,9.81E+02
YDR060W,1.50E+04
YDR061W,1.58E+03
YDR062W,5.45E+04
YDR063W,3.04E+03
YDR064W,-
YDR065W,1.67E+03
YDR066C,1.05E+03
YDR067C,%
YDR068W,3.27E+03
YDR069C,4.28E+02
YDR070C,9.37E+02
YDR071C,8.68E+03
YDR072C,6.06E+02
YDR073W,1.03E+03
YDR074W,2.27E+04
YDR075W,2.84E+03
YDR076W,1.05E+03
YDR077W,1.63E+03
YDR078C,-
YDR079C-A,#
YDR079W,4.68E+02
YDR080W,1.17E+03
YDR081C,5.72E+02
YDR082W,-
YDR083W,2.78E+03
YDR084C,1.04E+03
YDR085C,-
YDR086C,-
YDR087C,6.96E+03
YDR088C,1.49E+03
YDR089W,1.72E+02
YDR090C,%
YDR091C,6.28E+03
YDR092W,8.97E+03
YDR093W,%
YDR094W,-
YDR095C,-
YDR096W,4.32E+02
YDR097C,5.33E+03
YDR098C,1.10E+04
YDR099W,4.76E+04
YDR100W,4.54E+03
YDR101C,4.51E+04
YDR102C,-
YDR103W,1.90E+03
YDR104C,-
YDR105C,%
YDR106W,-
YDR107C,-
YDR108W,8.76E+03
YDR109C,%
YDR110W,1.51E+03
YDR111C,3.48E+03
YDR112W,-
YDR113C,-
YDR114C,-
YDR115W,1.95E+02
YDR116C,7.01E+03
YDR117C,3.87E+03
YDR118W,1.33E+03
YDR119W,-
YDR120C,1.55E+04
YDR121W,2.10E+03
YDR122W,2.79E+02
YDR123C,7.84E+02
YDR124W,3.51E+03
YDR125C,1.43E+02
YDR126W,-
YDR127W,6.42E+03
YDR128W,5.56E+02
YDR129C,3.51E+03
YDR130C,-
YDR131C,-
YDR132C,1.72E+02
YDR133C,-
YDR134C,-
YDR135C,3.96E+02
YDR136C,-
YDR137W,5.89E+02
YDR138W,1.34E+03
YDR139C,1.31E+03
YDR140W,3.39E+03
YDR141C,2.70E+03
YDR142C,5.89E+02
YDR143C,1.72E+02
YDR144C,5.38E+02
YDR145W,9.30E+02
YDR146C,6.88E+02
YDR147W,3.42E+03
YDR148C,7.97E+03
YDR149C,-
YDR150W,%
YDR151C,-
YDR152W,1.03E+04
YDR153C,8.10E+03
YDR154C,-
YDR155C,8.60E+04
YDR156W,3.10E+03
YDR157W,-
YDR158W,1.84E+04
YDR159W,3.39E+02
YDR160W,-
YDR161W,1.63E+03
YDR162C,5.21E+02
YDR163W,-
YDR164C,6.39E+02
YDR165W,5.91E+03
YDR166C,3.40E+03
YDR167W,3.37E+03
YDR168W,1.02E+04
YDR169C,6.39E+02
YDR170C,3.67E+03
YDR170W-A,2.91E+03
YDR171W,1.47E+03
YDR172W,7.89E+04
YDR173C,2.72E+03
YDR174W,1.90E+04
YDR175C,3.15E+03
YDR176W,2.47E+03
YDR177W,8.94E+03
YDR178W,7.92E+03
YDR179C,3.58E+02
YDR179W-A,2.59E+02
YDR180W,3.31E+03
YDR181C,7.68E+02
YDR182W,5.83E+02
YDR183W,2.25E+03
YDR184C,8.46E+02
YDR185C,6.72E+02
YDR186C,1.95E+02
YDR187C,-
YDR188W,-
YDR189W,5.78E+03
YDR190C,1.16E+04
YDR191W,3.77E+02
YDR192C,-
YDR193W,-
YDR194C,1.03E+04
YDR195W,7.45E+03
YDR196C,1.66E+03
YDR197W,2.14E+03
YDR198C,7.68E+02
YDR199W,-
YDR200C,3.77E+02
YDR201W,6.39E+02
YDR202C,2.86E+03
YDR203W,-
YDR204W,-
