ORF,Protein Molecules/Cell
YHL021C,5.80E+03
YHL022C,-
YHL023C,-
YHL024W,-
YHL025W,2.90E+03
YHL026C,8.30E+02
YHL027W,1.82E+03
YHL028W,#
YHL029C,1.25E+04
YHL030W,2.95E+03
YHL031C,-
YHL032C,-
YHL033C,2.38E+05
YHL034C,1.28E+04
YHL035C,-
YHL036W,-
YHL037C,-
YHL038C,1.36E+03
YHL039W,5.17E+03
YHL040C,#
YHL041W,-
YHL042W,-
YHL043W,-
YHL044W,-
YHL045W,-
YHL046C,-
YHL047C,-
YHL048W,3.07E+03
YHL049C,-
YHL050C,-
YHR001W,2.35E+03
YHR001W-A,5.59E+03
YHR002W,-
YHR003C,8.43E+03
YHR004C,3.77E+02
YHR005C,9.92E+03
YHR005C-A,-
YHR006W,6.49E+03
YHR007C,7.32E+04
YHR008C,1.09E+04
YHR009C,5.24E+03
YHR010W,7.38E+03
YHR011W,4.05E+02
YHR012W,2.59E+02
YHR013C,3.31E+03
YHR014W,-
YHR015W,9.89E+01
YHR016C,%
YHR017W,-
YHR018C,1.02E+04
YHR019C,-
YHR020W,-
YHR021C,#
YHR021W-A,-
YHR022C,-
YHR023W,2.14E+03
YHR024C,3.14E+04
YHR025W,9.26E+04
YHR026W,-
YHR027C,3.06E+05
YHR028C,-
YHR029C,#
YHR030C,3.23E+03
YHR031C,6.56E+02
YHR032W,-
YHR033W,-
YHR034C,2.61E+03
YHR035W,4.50E+02
YHR036W,1.28E+03
YHR037W,1.72E+04
YHR038W,1.44E+03
YHR039C,2.50E+03
YHR039C-A,2.28E+03
YHR040W,2.80E+03
YHR041C,1.72E+03
YHR042W,4.66E+04
YHR043C,2.40E+03
YHR044C,7.52E+02
YHR045W,-
YHR046C,2.44E+03
YHR047C,7.70E+04
YHR048W,-
YHR049C-A,-
YHR049W,1.46E+04
YHR050W,-
YHR051W,1.25E+04
YHR052W,4.59E+04
YHR053C,3.19E+04
YHR054C,-
YHR055C,6.68E+03
YHR056C,-
YHR057C,3.39E+02
YHR058C,4.82E+03
YHR059W,2.63E+03
YHR060W,7.52E+02
YHR061C,1.10E+03
YHR062C,6.30E+03
YHR063C,2.60E+03
YHR064C,7.36E+04
YHR065C,-
YHR066W,8.15E+03
YHR067W,7.99E+02
YHR068W,7.60E+03
YHR069C,4.84E+03
YHR070W,4.12E+03
YHR071W,-
YHR072W,2.19E+03
YHR072W-A,-
YHR073W,5.89E+02
YHR074W,1.72E+02
YHR075C,-
YHR076W,-
YHR077C,1.28E+03
YHR078W,-
YHR079C,2.59E+02
YHR079C-A,-
YHR080C,%
YHR081W,-
YHR082C,1.27E+03
YHR083W,1.47E+03
YHR084W,1.92E+03
YHR085W,4.42E+03
YHR086W,1.48E+03
YHR087W,2.43E+03
YHR088W,7.84E+02
YHR089C,5.73E+03
YHR090C,%
YHR091C,-
YHR092C,-
YHR093W,%
YHR094C,2.33E+04
YHR095W,-
YHR096C,-
YHR097C,#
YHR098C,1.22E+04
YHR099W,-
YHR100C,-
YHR101C,3.46E+03
YHR102W,1.04E+03
YHR103W,%
YHR104W,1.29E+04
YHR105W,-
YHR106W,4.14E+02
YHR107C,1.17E+03
YHR108W,2.27E+03
YHR109W,2.94E+03
YHR110W,%
YHR111W,2.62E+03
YHR112C,1.36E+03
YHR113W,1.72E+02
YHR114W,5.44E+03
YHR115C,2.79E+03
YHR116W,1.36E+03
YHR117W,4.11E+03
YHR118C,2.97E+03
YHR119W,1.72E+02
YHR120W,1.67E+03
YHR121W,8.32E+03
YHR122W,1.80E+03
YHR123W,#
YHR124W,-
YHR125W,-
YHR126C,-
YHR127W,2.14E+03
YHR128W,-
YHR129C,1.58E+03
YHR130C,-
YHR131C,1.72E+02
YHR132C,4.68E+02
YHR132W-A,1.40E+03
YHR133C,1.90E+03
YHR134W,-
YHR135C,1.63E+03
YHR136C,2.18E+03
YHR137W,7.70E+03
YHR138C,3.19E+02
YHR139C,-
YHR139C-A,-
YHR140W,#
YHR141C,3.89E+03
YHR142W,-
YHR143W,%
YHR143W-A,9.07E+02
YHR144C,1.51E+03
YHR145C,-
YHR146W,2.99E+03
YHR147C,5.68E+03
YHR148W,-
YHR149C,1.55E+03
YHR150W,-
YHR151C,-
YHR152W,9.37E+02
YHR153C,-
YHR154W,1.38E+03
YHR155W,1.17E+03
YHR156C,7.99E+02
YHR157W,-
YHR158C,1.35E+03
YHR159W,5.04E+02
YHR160C,-
YHR161C,6.23E+02
YHR162W,3.41E+03
YHR163W,3.42E+03
YHR164C,%
YHR165C,4.68E+02
YHR166C,7.97E+01
YHR167W,2.84E+03
YHR168W,1.89E+02
YHR169W,3.50E+03
YHR170W,1.19E+04
YHR171W,-
YHR172W,2.23E+03
YHR173C,1.49E+02
YHR174W,2.61E+03
YHR175W,#
YHR176W,-
YHR177W,-
YHR178W,2.79E+02
YHR179W,1.51E+04
YHR180W,-
YHR181W,1.81E+03
YHR182W,1.72E+03
YHR183W,1.01E+05
YHR184W,-
YHR185C,-
YHR186C,%
YHR187W,3.87E+03
YHR188C,1.68E+03
YHR189W,3.39E+02
YHR190W,1.08E+04
YHR191C,-
YHR192W,3.39E+03
YHR193C,3.80E+04
YHR194W,1.20E+03
YHR195W,1.90E+03
YHR196W,2.00E+04
YHR197W,7.82E+03
YHR198C,1.35E+03
YHR199C,4.42E+03
YHR200W,1.72E+04
YHR201C,3.17E+03
YHR202W,-
YHR203C,1.02E+05
YHR204W,6.56E+02
YHR205W,3.85E+03
YHR206W,2.57E+03
YHR207C,5.00E+03
YHR208W,8.73E+04
YHR209W,4.38E+03
YHR210C,-
YHR211W,-
YHR212C,-
YHR213W,-
YHR214W,-
YHR214W-A,-
YHR215W,3.29E+03
YHR216W,7.87E+03
YHR217C,-
YHR218W,-
YHR219W,-
YIL001W,1.95E+02
YIL002C,9.89E+01
YIL003W,-
YIL004C,%
YIL005W,6.02E+03
YIL006W,-
YIL007C,8.46E+02
YIL008W,1.24E+03
YIL009C-A,-
YIL009W,6.44E+03
YIL010W,1.84E+03
YIL011W,-
YIL012W,-
YIL013C,-
YIL014W,2.31E+03
YIL015C-A,-
YIL015W,6.72E+02
YIL016W,3.35E+03
YIL017C,%
YIL018W,4.05E+03
YIL019W,-
YIL020C,6.49E+03
YIL021W,1.00E+04
YIL022W,-
YIL023C,-
YIL024C,1.54E+03
YIL025C,-
YIL026C,4.09E+03
YIL027C,5.24E+03
YIL028W,-
YIL029C,-
YIL030C,#
YIL031W,4.50E+02
YIL032C,-
YIL033C,4.28E+03
YIL034C,6.77E+03
YIL035C,7.18E+03
YIL036W,1.24E+03
YIL037C,-
YIL038C,2.49E+03
YIL039W,1.07E+03
YIL040W,%
YIL041W,7.72E+03
YIL042C,4.22E+03
YIL043C,4.82E+03
YIL044C,5.35E+03
YIL045W,9.96E+02
YIL046W,2.17E+02
YIL047C,1.16E+03
YIL048W,#
YIL049W,-
YIL050W,3.39E+03
YIL051C,1.68E+05
YIL052C,2.10E+04
YIL053W,1.93E+05
YIL054W,5.21E+02
YIL055C,%
YIL056W,2.79E+02
YIL057C,5.53E+03
YIL058W,-
YIL059C,%
YIL060W,-
YIL061C,7.36E+02
YIL062C,3.06E+03
YIL063C,3.62E+03
YIL064W,1.62E+03
YIL065C,2.41E+03
YIL066C,1.36E+03
YIL067C,-
YIL068C,1.08E+03
YIL069C,6.16E+03
YIL070C,4.91E+03
YIL071C,5.04E+02
YIL072W,-
YIL073C,-
YIL074C,2.01E+03
YIL075C,4.75E+03
YIL076W,2.31E+04
YIL077C,9.22E+02
YIL078W,4.26E+04
YIL079C,1.55E+03
YIL083C,3.17E+03
YIL084C,1.05E+02
YIL085C,2.89E+03
YIL086C,-
YIL087C,-
YIL088C,1.95E+02
YIL089W,%
YIL090W,6.06E+02
YIL091C,1.72E+02
YIL092W,1.05E+02
YIL093C,1.92E+03
YIL094C,1.91E+04
YIL095W,1.32E+03
YIL096C,2.96E+03
YIL097W,7.84E+02
YIL098C,5.89E+02
YIL099W,-
YIL100W,-
YIL101C,1.95E+02
YIL102C,-
YIL103W,2.53E+03
YIL104C,7.06E+03
YIL105C,5.19E+03
YIL106W,5.02E+03
YIL107C,1.71E+03
YIL108W,1.95E+02
YIL109C,-
YIL110W,-
YIL111W,2.25E+03
YIL112W,%
YIL113W,#
YIL114C,-
YIL115C,1.23E+03
YIL116W,-
YIL117C,-
YIL118W,5.91E+03
YIL119C,1.34E+03
YIL120W,-
YIL121W,-
YIL122W,7.36E+02
YIL123W,1.80E+03
YIL124W,3.67E+03
YIL125W,1.43E+04
YIL126W,1.99E+03
YIL127C,3.67E+03
YIL128W,3.15E+03
YIL129C,2.06E+02
YIL130W,3.96E+02
YIL131C,1.72E+03
YIL132C,4.14E+02
YIL133C,4.33E+04
YIL134W,-
YIL135C,2.18E+03
YIL136W,6.49E+03
YIL137C,5.11E+03
YIL138C,1.11E+04
YIL139C,-
YIL140W,3.96E+02
YIL141W,-
YIL142W,-
YIL143C,8.25E+02
YIL144W,1.16E+03
YIL145C,2.40E+03
YIL146C,-
YIL147C,6.56E+02
YIL148W,1.18E+04
YIL149C,2.77E+03
YIL150C,1.86E+03
YIL151C,5.04E+02
YIL152W,-
YIL153W,4.59E+03
YIL154C,5.11E+03
YIL155C,1.67E+03
YIL156W,6.06E+02
YIL157C,1.68E+03
YIL158W,-
YIL159W,2.59E+02
YIL160C,#
YIL161W,1.23E+03
YIL162W,1.78E+03
YIL163C,-
YIL164C,-
YIL165C,-
YIL166C,-
YIL167W,-
YIL168W,-
YIL169C,-
YIL170W,-
YIL171W,-
YIL172C,1.66E+02
YIL173W,3.19E+02
YIL174W,-
YIL175W,-
YIL176C,-
YIL177C,-
YIR001C,6.49E+03
YIR002C,-
YIR003W,4.50E+02
YIR004W,8.97E+03
YIR005W,9.22E+02
YIR006C,#
YIR007W,1.07E+03
YIR008C,1.97E+02
YIR009W,5.04E+02
YIR010W,1.31E+03
YIR011C,2.12E+03
YIR012W,1.97E+04
YIR013C,-
YIR014W,%
YIR015W,2.07E+03
YIR016W,#
YIR017C,%
YIR018W,2.38E+02
YIR019C,-
YIR020C,-
YIR020W-B,-
YIR021W,5.24E+03
YIR022W,3.15E+03
YIR023W,7.04E+02
YIR024C,5.89E+02
YIR025W,-
YIR026C,7.57E+03
YIR027C,-
YIR028W,-
YIR029W,-
YIR030C,-
YIR031C,-
YIR032C,-
YIR033W,3.00E+02
YIR034C,1.12E+05
YIR035C,2.37E+03
YIR036C,1.62E+03
YIR037W,8.12E+03
YIR038C,#
YIR039C,-
YIR040C,-
YIR041W,-
YIR042C,-
YIR043C,-
YIR044C,-
YJL001W,7.25E+03
YJL002C,1.19E+04
YJL003W,6.72E+02
YJL004C,2.38E+02
YJL005W,%
YJL006C,1.59E+03
YJL007C,-
YJL008C,-
YJL009W,-
YJL010C,2.93E+03
YJL011C,2.93E+03
YJL012C,-
YJL012C-A,8.71E+03
YJL013C,3.17E+03
YJL014W,-
YJL015C,-
YJL016W,3.36E+03
YJL017W,1.72E+02
YJL018W,4.51E+03
YJL019W,-
YJL020C,-
YJL021C,2.61E+03
YJL022W,-
YJL023C,7.21E+02
YJL024C,1.24E+03
YJL025W,3.98E+02
YJL026W,5.38E+02
YJL027C,-
YJL028W,-
YJL029C,%
YJL030W,1.11E+03
YJL031C,-
YJL032W,-
YJL033W,7.90E+03
YJL034W,3.37E+05
YJL035C,8.30E+02
YJL036W,4.50E+02
YJL037W,-
YJL038C,-
YJL039C,2.52E+03
YJL041W,2.40E+03
YJL042W,2.79E+02
YJL043W,-
YJL044C,2.99E+03
YJL045W,-
YJL046W,-
YJL047C,%
YJL048C,1.34E+03
YJL049W,2.53E+03
YJL050W,1.25E+04
YJL051W,-
YJL052C-A,-
YJL052W,1.20E+05
YJL053W,-
YJL054W,-
YJL055W,6.44E+03
YJL056C,%
YJL057C,8.92E+02
YJL058C,1.96E+03
YJL059W,-
YJL060W,1.60E+03
YJL061W,9.47E+03
YJL062W,2.59E+02
YJL062W-A,2.53E+03
YJL063C,3.03E+03
YJL064W,-
YJL065C,3.39E+03
YJL066C,3.39E+03
YJL067W,-
YJL068C,1.75E+03
YJL069C,9.57E+03
YJL070C,1.10E+03
YJL071W,1.12E+02
YJL072C,#
YJL073W,3.18E+03
YJL074C,2.66E+03
YJL075C,-
YJL076W,1.59E+03
YJL077C,-
YJL078C,-
YJL079C,5.56E+02
YJL080C,#
YJL081C,1.07E+03
YJL082W,4.98E+03
YJL083W,3.96E+02
YJL084C,4.92E+01
YJL085W,4.28E+03
YJL086C,-
YJL087C,3.11E+03
YJL088W,1.14E+03
YJL089W,-
YJL090C,5.40E+02
YJL091C,%
YJL092W,5.19E+03
YJL093C,-
YJL094C,1.72E+02
YJL095W,1.12E+02
YJL096W,1.84E+03
YJL097W,#
YJL098W,1.12E+04
YJL099W,1.18E+03
YJL100W,5.69E+01
YJL101C,5.13E+03
YJL102W,1.73E+03
YJL103C,-
YJL104W,3.18E+03
YJL105W,-
YJL106W,-
YJL107C,1.48E+03
YJL108C,-
YJL109C,1.82E+04
YJL110C,3.19E+02
YJL111W,-
YJL112W,3.73E+03
YJL115W,6.23E+03
YJL116C,-
YJL117W,-
YJL118W,-
YJL119C,-
YJL120W,-
YJL121C,3.31E+03
YJL122W,4.78E+03
YJL123C,2.16E+03
YJL124C,3.49E+03
YJL125C,7.22E+03
YJL126W,-
YJL127C,1.50E+03
YJL127W-A,-
YJL128C,2.16E+03
YJL129C,-
YJL130C,1.10E+04
YJL131C,3.19E+02
YJL132W,-
YJL133W,1.36E+03
YJL134W,#
YJL135W,-
YJL136C,1.53E+04
YJL137C,9.81E+02
YJL138C,#
YJL139C,6.40E+03
YJL140W,-
YJL141C,-
YJL142C,-
YJL143W,1.21E+03
YJL144W,1.49E+02
YJL145W,6.54E+03
YJL146W,1.85E+03
YJL147C,9.81E+02
YJL148W,3.36E+03
YJL149W,1.95E+02
YJL150W,-
YJL151C,1.25E+04
YJL152W,-
YJL153C,%
YJL154C,2.36E+03
YJL155C,1.68E+03
YJL156C,-
YJL156W-A,-
YJL157C,2.38E+02
YJL158C,1.25E+04
YJL159W,1.46E+04
YJL160C,-
YJL161W,%
YJL162C,1.84E+02
YJL163C,-
YJL164C,4.32E+03
YJL165C,-
YJL166W,6.14E+03
YJL167W,%
YJL168C,2.17E+02
YJL169W,-
YJL170C,-
YJL171C,5.53E+03
YJL172W,7.21E+02
YJL173C,4.28E+03
YJL174W,-
YJL175W,-
YJL176C,3.15E+03
YJL177W,2.11E+04
YJL178C,8.97E+03
YJL179W,7.21E+02
YJL180C,6.37E+03
YJL181W,-
YJL182C,-
YJL183W,3.48E+03
YJL184W,2.18E+03
YJL185C,-
YJL186W,1.14E+04
YJL187C,-
YJL188C,-
YJL189W,-
YJL190C,4.04E+04
YJL191W,3.37E+03
YJL192C,1.17E+04
YJL193W,-
YJL194W,-
YJL195C,-
YJL196C,9.37E+02
YJL197W,7.11E+03
YJL198W,3.43E+03
YJL199C,%
YJL200C,4.67E+03
YJL201W,1.75E+03
YJL202C,-
YJL203W,2.49E+03
YJL204C,2.70E+03
YJL205C-A,%
YJL206C,-
YJL207C,3.00E+02
YJL208C,3.87E+03
YJL209W,2.18E+03
YJL210W,3.39E+02
YJL211C,-
YJL212C,2.87E+03
YJL213W,-
YJL214W,6.23E+02
YJL215C,-
YJL216C,-
YJL217W,7.21E+02
YJL218W,-
YJL219W,-
YJL220W,-
YJL221C,-
YJL222W,2.79E+02
YJL223C,-
YJL225C,-
YJR001W,1.82E+03
YJR002W,-
YJR003C,3.28E+03
YJR004C,-
YJR005W,1.67E+03
YJR006W,6.26E+02
YJR007W,1.71E+04
YJR008W,3.39E+02
YJR009C,1.21E+05
YJR010C-A,5.55E+03
YJR010W,1.51E+03
YJR011C,2.56E+03
YJR012C,5.38E+02
YJR013W,%
YJR014W,2.16E+04
YJR015W,6.39E+02
YJR016C,1.71E+05
YJR017C,4.40E+03
YJR018W,-
YJR019C,-
YJR020W,-
YJR021C,-
YJR022W,1.44E+03
YJR023C,-
YJR024C,9.52E+02
YJR025C,2.33E+03
YJR030C,-
YJR031C,2.94E+03
YJR032W,3.23E+03
YJR033C,1.49E+02
YJR034W,-
YJR035W,%
YJR036C,-
YJR037W,-
YJR038C,-
YJR039W,-
YJR040W,-
YJR041C,1.66E+03
YJR042W,7.92E+03
YJR043C,2.41E+03
YJR044C,2.34E+03
YJR045C,-
YJR046W,2.19E+03
YJR047C,1.42E+04
YJR048W,7.33E+03
YJR049C,5.04E+03
YJR050W,1.99E+03
YJR051W,4.32E+02
YJR052W,9.37E+02
YJR053W,1.38E+03
YJR054W,5.38E+02
YJR055W,2.73E+03
YJR056C,1.89E+03
YJR057W,2.98E+03
YJR058C,1.39E+03
YJR059W,1.42E+03
YJR060W,6.89E+03
YJR061W,-
YJR062C,1.64E+03
YJR063W,8.45E+03
YJR064W,-
YJR065C,6.65E+03
YJR066W,5.89E+02
YJR067C,1.50E+03
YJR068W,4.61E+03
YJR069C,3.49E+03
YJR070C,3.99E+04
YJR071W,-
YJR072C,1.52E+04
YJR073C,5.89E+03
YJR074W,2.84E+03
YJR075W,7.16E+03
YJR076C,9.28E+03
YJR077C,-
YJR078W,1.49E+02
YJR079W,9.07E+02
YJR080C,2.29E+03
YJR082C,5.04E+02
YJR083C,1.14E+03
YJR084W,1.51E+03
YJR085C,2.10E+03
YJR086W,5.55E+03
YJR087W,-
YJR088C,5.74E+03
YJR089W,-
YJR090C,-
YJR091C,7.84E+02
YJR092W,1.60E+03
YJR093C,1.31E+03
YJR094C,-
YJR094W-A,4.55E+04
YJR095W,-
YJR096W,6.96E+03
YJR097W,2.01E+03
YJR098C,1.23E+03
YJR099W,-
YJR100C,-
YJR101W,2.06E+03
YJR102C,-
YJR103W,5.37E+03
YJR104C,5.19E+05
YJR105W,2.22E+04
YJR106W,-
YJR107W,-
YJR108W,-
YJR109C,1.80E+04
YJR110W,1.08E+03
YJR111C,1.89E+03
YJR112W,2.07E+03
YJR113C,1.34E+03
YJR114W,-
YJR115W,-
YJR116W,#
YJR117W,1.96E+04
YJR118C,1.16E+03
YJR119C,2.90E+02
YJR120W,-
YJR121W,1.64E+05
YJR122W,2.96E+03
YJR123W,-
YJR124C,-
YJR125C,-
YJR126C,1.12E+02
YJR127C,#
YJR128W,-
YJR129C,1.55E+03
YJR130C,2.07E+03
YJR131W,8.26E+03
YJR132W,1.35E+04
YJR133W,7.21E+02
YJR134C,3.00E+02
YJR135C,1.03E+03
YJR135W-A,-
YJR136C,1.47E+03
YJR137C,2.90E+03
YJR138W,2.79E+02
YJR139C,4.89E+04
YJR140C,9.22E+02
YJR141W,-
YJR142W,2.17E+02
YJR143C,1.27E+03
YJR144W,-
YJR145C,5.73E+02
YJR146W,9.52E+02
YJR147W,2.05E+03
YJR148W,2.59E+04
YJR149W,1.72E+02
YJR150C,-
YJR151C,-
YJR152W,-
YJR153W,-
YJR154W,1.60E+03
YJR155W,-
YJR156C,7.52E+02
YJR157W,-
YJR158W,-
YJR159W,-
YJR160C,-
YJR161C,8.15E+02
YJR162C,-
YKL001C,2.17E+03
YKL002W,-
YKL003C,-
YKL003W-A,-
YKL004W,4.17E+03
YKL005C,8.92E+02
YKL006C-A,%
YKL006W,4.53E+04
YKL007W,4.38E+03
YKL008C,2.84E+03
YKL009W,1.82E+04
YKL010C,7.38E+03
YKL011C,%
YKL012W,%
YKL013C,9.02E+03
YKL014C,5.89E+03
YKL015W,7.36E+02
YKL016C,6.82E+03
YKL017C,1.04E+03
YKL018C-A,3.58E+02
YKL018W,7.04E+02
YKL019W,3.96E+02
YKL020C,4.32E+02
YKL021C,3.73E+03
YKL022C,2.75E+03
YKL023W,1.73E+03
YKL024C,1.50E+03
YKL025C,1.60E+03
YKL026C,%
YKL027W,1.17E+03
YKL028W,3.59E+04
YKL029C,1.05E+04
YKL030W,-
YKL031W,-
YKL032C,%
YKL033W,7.21E+02
YKL033W-A,-
YKL034W,-
YKL035W,1.72E+04
YKL036C,-
YKL037W,-
YKL038W,1.95E+02
YKL039W,-
YKL040C,1.13E+04
YKL041W,1.89E+03
YKL042W,-
YKL043W,1.42E+03
YKL044W,-
YKL045W,-
YKL046C,2.58E+03
YKL047W,2.55E+03
YKL048C,1.49E+02
YKL049C,-
YKL050C,-
YKL051W,#
YKL052C,2.84E+03
YKL053C-A,3.87E+03
YKL053W,-
YKL054C,3.38E+03
YKL055C,1.76E+03
YKL056C,2.78E+04
YKL057C,-
YKL058W,3.91E+03
YKL059C,1.13E+03
YKL060C,1.02E+06
YKL061W,1.24E+03
YKL062W,-
YKL063C,2.19E+03
YKL064W,2.59E+02
YKL065C,7.21E+03
YKL066W,-
YKL067W,7.13E+03
YKL068W,3.58E+02
YKL069W,2.61E+03
YKL070W,-
YKL071W,-
YKL072W,2.11E+02
YKL073W,1.37E+02
YKL074C,4.17E+03
YKL075C,9.89E+01
YKL076C,-
YKL077W,6.06E+02
YKL078W,7.21E+02
YKL079W,1.92E+03
YKL080W,2.11E+04
YKL081W,1.02E+05
YKL082C,-
YKL083W,-
YKL084W,-
YKL085W,2.81E+04
YKL086W,5.38E+02
YKL087C,-
YKL088W,2.94E+03
YKL089W,4.65E+02
YKL090W,-
YKL091C,2.87E+03
YKL092C,1.23E+03
YKL093W,-
YKL094W,2.14E+03
YKL095W,2.25E+03
YKL096W,2.06E+03
YKL096W-a,1.59E+06
YKL097C,-
YKL098W,-
YKL099C,-
YKL100C,-
YKL101W,%
YKL102C,-
YKL103C,5.73E+03
YKL104C,1.43E+04
YKL105C,5.38E+02
YKL106C-A,-
YKL106W,2.91E+03
YKL107W,-
YKL108W,6.56E+02
YKL109W,-
YKL110C,5.26E+03
YKL111C,-
YKL112W,4.82E+03
YKL113C,6.12E+03
YKL114C,7.25E+03
YKL115C,-
YKL116C,1.51E+03
YKL117W,3.37E+04
YKL118W,-
YKL119C,2.03E+03
YKL120W,5.35E+03
YKL121W,5.04E+02
YKL122C,3.40E+03
YKL123W,-
YKL124W,4.50E+02
YKL125W,1.38E+02
YKL126W,2.95E+03
YKL127W,9.82E+03
YKL128C,3.25E+03
YKL129C,1.55E+02
YKL130C,4.07E+03
YKL131W,-
YKL132C,-
YKL133C,-
YKL134C,2.69E+03
YKL135C,2.69E+03
YKL136W,-
YKL137W,2.59E+02
YKL138C,2.12E+03
YKL139W,1.25E+02
YKL140W,1.47E+03
YKL141W,2.38E+02
YKL142W,1.55E+03
YKL143W,5.89E+02
YKL144C,7.52E+02
YKL145W,1.05E+02
YKL146W,-
YKL147C,-
YKL148C,1.04E+04
YKL149C,1.13E+03
YKL150W,1.92E+03
YKL151C,3.87E+03
YKL152C,1.72E+05
YKL153W,-
YKL154W,8.25E+03
YKL155C,1.90E+03
YKL156W,4.33E+04
YKL157W,2.91E+03
YKL159C,5.21E+02
YKL160W,5.86E+03
YKL161C,-
YKL162C,1.10E+03
YKL162C-A,-
YKL163W,-
YKL164C,1.17E+03
YKL165C,#
YKL165C-A,-
YKL166C,1.59E+03
YKL167C,-
YKL168C,9.81E+02
YKL169C,-
YKL170W,2.46E+03
YKL171W,-
YKL172W,-
YKL173W,3.00E+02
YKL174C,-
YKL175W,-
YKL176C,%
YKL177W,-
YKL178C,-
YKL179C,2.65E+03
YKL180W,-
YKL181W,1.17E+04
YKL182W,9.18E+04
YKL183W,5.93E+03
YKL184W,6.88E+02
YKL185W,1.80E+03
YKL186C,-
YKL187C,-
YKL188C,-
YKL189W,1.28E+03
YKL190W,%
YKL191W,3.49E+03
YKL192C,6.05E+04
YKL193C,3.87E+03
YKL194C,1.24E+03
YKL195W,5.04E+03
YKL196C,-
YKL197C,2.10E+03
YKL198C,-
YKL199C,-
YKL201C,-
YKL202W,-
YKL203C,-
YKL204W,3.24E+03
YKL205W,3.49E+03
YKL206C,2.94E+03
YKL207W,-
YKL208W,%
YKL209C,#
YKL210W,1.77E+04
YKL211C,1.34E+04
YKL212W,4.80E+04
YKL213C,6.80E+03
YKL214C,1.31E+03
YKL215C,3.18E+03
YKL216W,2.64E+05
YKL217W,-
YKL218C,-
YKL219W,-
YKL220C,%
YKL221W,-
YKL222C,%
YKL223W,-
YKL224C,#
YKL225W,-
YKR001C,5.96E+03
YKR002W,1.71E+04
YKR003W,2.55E+03
YKR004C,8.46E+02
YKR005C,-
YKR006C,1.36E+03
YKR007W,2.74E+03
YKR008W,8.57E+03
YKR009C,-
YKR010C,3.39E+02
YKR011C,3.15E+03
YKR012C,-
YKR013W,-
YKR014C,9.38E+03
YKR015C,-
YKR016W,5.73E+03
YKR017C,2.25E+03
YKR018C,1.77E+03
YKR019C,-
YKR020W,3.19E+02
YKR021W,4.14E+02
YKR022C,8.92E+02
YKR023W,1.71E+03
YKR024C,1.46E+03
YKR025W,1.59E+03
YKR026C,8.97E+03
YKR027W,2.54E+03
YKR028W,-
YKR029C,6.23E+02
YKR030W,-
YKR031C,4.92E+01
YKR032W,-
YKR033C,-
YKR034W,-
YKR035C,-
YKR035W-A,2.44E+03
YKR036C,5.89E+02
YKR037C,#
YKR038C,1.27E+03
YKR039W,-
YKR040C,-
YKR041W,2.17E+02
YKR042W,5.69E+04
YKR043C,1.15E+04
YKR044W,3.19E+02
YKR045C,%
YKR046C,2.16E+03
YKR047W,-
YKR048C,8.07E+03
YKR049C,1.24E+03
YKR050W,-
YKR051W,-
YKR052C,1.34E+03
YKR053C,-
YKR054C,1.95E+02
YKR055W,-
YKR056W,-
YKR057W,2.74E+04
YKR058W,-
YKR059W,1.06E+05
YKR060W,3.06E+03
YKR061W,-
YKR062W,1.15E+03
YKR063C,6.47E+02
YKR064W,1.49E+02
YKR065C,3.00E+03
YKR066C,6.73E+03
YKR067W,3.10E+03
YKR068C,2.37E+03
YKR069W,-
YKR070W,3.87E+03
YKR071C,1.05E+03
YKR072C,3.75E+03
YKR073C,-
YKR074W,1.23E+03
YKR075C,1.96E+03
YKR076W,1.67E+03
YKR077W,8.61E+02
YKR078W,1.27E+03
YKR079C,2.71E+03
YKR080W,1.62E+04
YKR081C,3.24E+04
YKR082W,3.06E+03
YKR083C,2.79E+02
YKR084C,2.75E+03
YKR085C,3.58E+02
YKR086W,1.25E+03
YKR087C,#
YKR088C,1.13E+04
YKR089C,1.95E+02
YKR090W,1.31E+03
YKR091W,-
YKR092C,1.29E+04
YKR093W,#
YKR094C,2.82E+04
YKR095W,2.71E+03
YKR096W,1.95E+02
YKR097W,-
YKR098C,%
YKR099W,8.61E+02
YKR100C,#
YKR101W,-
YKR102W,-
YKR103W,%
YKR104W,-
YKR105C,-
YKR106W,-
YLL001W,9.62E+03
YLL002W,1.14E+03
YLL003W,%
YLL004W,-
YLL005C,-
YLL006W,2.49E+03
YLL007C,4.86E+02
YLL008W,-
YLL009C,-
YLL010C,5.62E+03
YLL011W,6.62E+03
YLL012W,7.77E+03
YLL013C,8.46E+02
YLL014W,%
YLL015W,#
YLL016W,-
YLL017W,-
YLL018C,-
YLL018C-A,5.75E+03
YLL019C,-
YLL020C,-
YLL021W,2.74E+02
YLL022C,4.55E+03
YLL023C,1.68E+03
YLL024C,3.64E+05
YLL025W,-
YLL026W,3.28E+04
YLL027W,1.25E+02
YLL028W,1.47E+03
YLL029W,3.24E+03
YLL030C,-
YLL031C,3.00E+02
YLL032C,9.22E+02
YLL033W,-
YLL034C,4.49E+03
YLL035W,-
YLL036C,1.17E+04
YLL037W,-
YLL038C,1.96E+03
YLL039C,-
YLL040C,1.25E+02
YLL041C,9.54E+03
YLL042C,-
YLL043W,9.07E+02
YLL044W,-
YLL045C,8.02E+04
YLL046C,-
YLL047W,-
YLL048C,3.00E+03
YLL049W,-
YLL050C,1.96E+04
YLL051C,%
YLL052C,%
